# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.041927 seconds
# 781.549759 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  3850	     0.06334	     0.00368
  3900	     0.05528	     0.00336
  3950	     0.05581	     0.00334
  4000	     0.05403	     0.00326
  4050	     0.05384	     0.00320
  4100	     0.05513	     0.00325
  4150	     0.04656	     0.00288
  4200	     0.03969	     0.00264
  4250	     0.04621	     0.00283
  4300	     0.03949	     0.00258
  4350	     0.03437	     0.00237
  4400	     0.04063	     0.00256
  4450	     0.03448	     0.00233
  4500	     0.03194	     0.00224
  4550	     0.03942	     0.00244
  4600	     0.03233	     0.00219
  4650	     0.03404	     0.00221
  4700	     0.03432	     0.00219
  4750	     0.03000	     0.00204
  4800	     0.02597	     0.00186
  4850	     0.02599	     0.00186
  4900	     0.02691	     0.00186
  4950	     0.02508	     0.00179
# extra	     0.20071
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.040768 seconds
# 803.777046 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	874314.93750	        -nan
    50	  4711.90555	    50.21709
   100	  1784.15008	    18.47702
   150	   883.82029	     9.31789
   200	   523.43973	     5.57187
   250	   336.52284	     3.66336
   300	   223.94125	     2.53547
   350	   160.22253	     1.87073
   400	   114.33219	     1.40015
   450	    85.61395	     1.08712
   500	    67.82412	     0.87897
   550	    51.68012	     0.70377
   600	    40.07498	     0.57273
   650	    32.87426	     0.47984
   700	    26.46002	     0.40246
   750	    21.57612	     0.33983
   800	    18.02531	     0.29363
   850	    15.02089	     0.25317
   900	    12.66949	     0.22001
   950	     9.99904	     0.18584
  1000	     8.50084	     0.16293
  1050	     6.97402	     0.14111
  1100	     6.19935	     0.12702
  1150	     5.33083	     0.11295
  1200	     4.50780	     0.09984
  1250	     4.02870	     0.09082
  1300	     3.57486	     0.08222
  1350	     3.10181	     0.07368
  1400	     2.70550	     0.06644
  1450	     2.34941	     0.05997
  1500	     2.06766	     0.05422
  1550	     1.74793	     0.04833
  1600	     1.67043	     0.04585
  1650	     1.43484	     0.04114
  1700	     1.22795	     0.03691
  1750	     1.13906	     0.03456
  1800	     1.01389	     0.03160
  1850	     0.91556	     0.02918
  1900	     0.84303	     0.02731
  1950	     0.75343	     0.02518
  2000	     0.66125	     0.02302
  2050	     0.61166	     0.02163
  2100	     0.55256	     0.02001
  2150	     0.50798	     0.01876
  2200	     0.43734	     0.01704
  2250	     0.44738	     0.01684
  2300	     0.41922	     0.01594
  2350	     0.36374	     0.01450
  2400	     0.34302	     0.01382
  2450	     0.31597	     0.01293
  2500	     0.29328	     0.01220
  2550	     0.26888	     0.01147
  2600	     0.23610	     0.01046
  2650	     0.24374	     0.01049
  2700	     0.23031	     0.01000
  2750	     0.21224	     0.00943
  2800	     0.18623	     0.00862
  2850	     0.17732	     0.00833
  2900	     0.16049	     0.00773
  2950	     0.16744	     0.00778
  3000	     0.15119	     0.00728
  3050	     0.13635	     0.00683
  3100	     0.12347	     0.00634
  3150	     0.12055	     0.00614
  3200	     0.11436	     0.00589
  3250	     0.11329	     0.00577
  3300	     0.10643	     0.00553
  3350	     0.09911	     0.00529
  3400	     0.09295	     0.00499
  3450	     0.09107	     0.00487
  3500	     0.09162	     0.00483
  3550	     0.08111	     0.00450
  3600	     0.08350	     0.00450
  3650	     0.07426	     0.00419
  3700	     0.07425	     0.00412
  3750	     0.06821	     0.00392
  3800	     0.05945	     0.00359
  3850	     0.06334	     0.00368
  3900	     0.05528	     0.00336
  3950	     0.05581	     0.00334
  4000	     0.05403	     0.00326
  4050	     0.05384	     0.00320
  4100	     0.05513	     0.00325
  4150	     0.04656	     0.00288
  4200	     0.03969	     0.00264
  4250	     0.04621	     0.00283
  4300	     0.03949	     0.00258
  4350	     0.03437	     0.00237
  4400	     0.04063	     0.00256
  4450	     0.03448	     0.00233
  4500	     0.03194	     0.00224
  4550	     0.03942	     0.00244
  4600	     0.03233	     0.00219
  4650	     0.03404	     0.00221
  4700	     0.03432	     0.00219
  4750	     0.03000	     0.00204
  4800	     0.02597	     0.00186
  4850	     0.02599	     0.00186
  4900	     0.02691	     0.00186
  4950	     0.02508	     0.00179
# extra	     0.20071
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.039090 seconds
# 838.270014 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	874314.93750	        -nan
    50	  4711.90555	    50.21709
   100	  1784.15008	    18.47702
   150	   883.82029	     9.31789
   200	   523.43973	     5.57187
   250	   336.52284	     3.66336
   300	   223.94125	     2.53547
   350	   160.22253	     1.87073
   400	   114.33219	     1.40015
   450	    85.61395	     1.08712
   500	    67.82412	     0.87897
   550	    51.68012	     0.70377
   600	    40.07498	     0.57273
   650	    32.87426	     0.47984
   700	    26.46002	     0.40246
   750	    21.57612	     0.33983
   800	    18.02531	     0.29363
   850	    15.02089	     0.25317
   900	    12.66949	     0.22001
   950	     9.99904	     0.18584
  1000	     8.50084	     0.16293
  1050	     6.97402	     0.14111
  1100	     6.19935	     0.12702
  1150	     5.33083	     0.11295
  1200	     4.50780	     0.09984
  1250	     4.02870	     0.09082
  1300	     3.57486	     0.08222
  1350	     3.10181	     0.07368
  1400	     2.70550	     0.06644
  1450	     2.34941	     0.05997
  1500	     2.06766	     0.05422
  1550	     1.74793	     0.04833
  1600	     1.67043	     0.04585
  1650	     1.43484	     0.04114
  1700	     1.22795	     0.03691
  1750	     1.13906	     0.03456
  1800	     1.01389	     0.03160
  1850	     0.91556	     0.02918
  1900	     0.84303	     0.02731
  1950	     0.75343	     0.02518
  2000	     0.66125	     0.02302
  2050	     0.61166	     0.02163
  2100	     0.55256	     0.02001
  2150	     0.50798	     0.01876
  2200	     0.43734	     0.01704
  2250	     0.44738	     0.01684
  2300	     0.41922	     0.01594
  2350	     0.36374	     0.01450
  2400	     0.34302	     0.01382
  2450	     0.31597	     0.01293
  2500	     0.29328	     0.01220
  2550	     0.26888	     0.01147
  2600	     0.23610	     0.01046
  2650	     0.24374	     0.01049
  2700	     0.23031	     0.01000
  2750	     0.21224	     0.00943
  2800	     0.18623	     0.00862
  2850	     0.17732	     0.00833
  2900	     0.16049	     0.00773
  2950	     0.16744	     0.00778
  3000	     0.15119	     0.00728
  3050	     0.13635	     0.00683
  3100	     0.12347	     0.00634
  3150	     0.12055	     0.00614
  3200	     0.11436	     0.00589
  3250	     0.11329	     0.00577
  3300	     0.10643	     0.00553
  3350	     0.09911	     0.00529
  3400	     0.09295	     0.00499
  3450	     0.09107	     0.00487
  3500	     0.09162	     0.00483
  3550	     0.08111	     0.00450
  3600	     0.08350	     0.00450
  3650	     0.07426	     0.00419
  3700	     0.07425	     0.00412
  3750	     0.06821	     0.00392
  3800	     0.05945	     0.00359
  3850	     0.06334	     0.00368
  3900	     0.05528	     0.00336
  3950	     0.05581	     0.00334
  4000	     0.05403	     0.00326
  4050	     0.05384	     0.00320
  4100	     0.05513	     0.00325
  4150	     0.04656	     0.00288
  4200	     0.03969	     0.00264
  4250	     0.04621	     0.00283
  4300	     0.03949	     0.00258
  4350	     0.03437	     0.00237
  4400	     0.04063	     0.00256
  4450	     0.03448	     0.00233
  4500	     0.03194	     0.00224
  4550	     0.03942	     0.00244
  4600	     0.03233	     0.00219
  4650	     0.03404	     0.00221
  4700	     0.03432	     0.00219
  4750	     0.03000	     0.00204
  4800	     0.02597	     0.00186
  4850	     0.02599	     0.00186
  4900	     0.02691	     0.00186
  4950	     0.02508	     0.00179
# extra	     0.20071
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.042663 seconds
# 768.059201 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	874314.93750	        -nan
    50	  4711.90555	    50.21709
   100	  1784.15008	    18.47702
   150	   883.82029	     9.31789
   200	   523.43973	     5.57187
   250	   336.52284	     3.66336
   300	   223.94125	     2.53547
   350	   160.22253	     1.87073
   400	   114.33219	     1.40015
   450	    85.61395	     1.08712
   500	    67.82412	     0.87897
   550	    51.68012	     0.70377
   600	    40.07498	     0.57273
   650	    32.87426	     0.47984
   700	    26.46002	     0.40246
   750	    21.57612	     0.33983
   800	    18.02531	     0.29363
   850	    15.02089	     0.25317
   900	    12.66949	     0.22001
   950	     9.99904	     0.18584
  1000	     8.50084	     0.16293
  1050	     6.97402	     0.14111
  1100	     6.19935	     0.12702
  1150	     5.33083	     0.11295
  1200	     4.50780	     0.09984
  1250	     4.02870	     0.09082
  1300	     3.57486	     0.08222
  1350	     3.10181	     0.07368
  1400	     2.70550	     0.06644
  1450	     2.34941	     0.05997
  1500	     2.06766	     0.05422
  1550	     1.74793	     0.04833
  1600	     1.67043	     0.04585
  1650	     1.43484	     0.04114
  1700	     1.22795	     0.03691
  1750	     1.13906	     0.03456
  1800	     1.01389	     0.03160
  1850	     0.91556	     0.02918
  1900	     0.84303	     0.02731
  1950	     0.75343	     0.02518
  2000	     0.66125	     0.02302
  2050	     0.61166	     0.02163
  2100	     0.55256	     0.02001
  2150	     0.50798	     0.01876
  2200	     0.43734	     0.01704
  2250	     0.44738	     0.01684
  2300	     0.41922	     0.01594
  2350	     0.36374	     0.01450
  2400	     0.34302	     0.01382
  2450	     0.31597	     0.01293
  2500	     0.29328	     0.01220
  2550	     0.26888	     0.01147
  2600	     0.23610	     0.01046
  2650	     0.24374	     0.01049
  2700	     0.23031	     0.01000
  2750	     0.21224	     0.00943
  2800	     0.18623	     0.00862
  2850	     0.17732	     0.00833
  2900	     0.16049	     0.00773
  2950	     0.16744	     0.00778
  3000	     0.15119	     0.00728
  3050	     0.13635	     0.00683
  3100	     0.12347	     0.00634
  3150	     0.12055	     0.00614
  3200	     0.11436	     0.00589
  3250	     0.11329	     0.00577
  3300	     0.10643	     0.00553
  3350	     0.09911	     0.00529
  3400	     0.09295	     0.00499
  3450	     0.09107	     0.00487
  3500	     0.09162	     0.00483
  3550	     0.08111	     0.00450
  3600	     0.08350	     0.00450
  3650	     0.07426	     0.00419
  3700	     0.07425	     0.00412
  3750	     0.06821	     0.00392
  3800	     0.05945	     0.00359
  3850	     0.06334	     0.00368
  3900	     0.05528	     0.00336
  3950	     0.05581	     0.00334
  4000	     0.05403	     0.00326
  4050	     0.05384	     0.00320
  4100	     0.05513	     0.00325
  4150	     0.04656	     0.00288
  4200	     0.03969	     0.00264
  4250	     0.04621	     0.00283
  4300	     0.03949	     0.00258
  4350	     0.03437	     0.00237
  4400	     0.04063	     0.00256
  4450	     0.03448	     0.00233
  4500	     0.03194	     0.00224
  4550	     0.03942	     0.00244
  4600	     0.03233	     0.00219
  4650	     0.03404	     0.00221
  4700	     0.03432	     0.00219
  4750	     0.03000	     0.00204
  4800	     0.02597	     0.00186
  4850	     0.02599	     0.00186
  4900	     0.02691	     0.00186
  4950	     0.02508	     0.00179
# extra	     0.20071
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.041226 seconds
# 794.837515 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	874314.93750	        -nan
    50	  4711.90555	    50.21709
   100	  1784.15008	    18.47702
   150	   883.82029	     9.31789
   200	   523.43973	     5.57187
   250	   336.52284	     3.66336
   300	   223.94125	     2.53547
   350	   160.22253	     1.87073
   400	   114.33219	     1.40015
   450	    85.61395	     1.08712
   500	    67.82412	     0.87897
   550	    51.68012	     0.70377
   600	    40.07498	     0.57273
   650	    32.87426	     0.47984
   700	    26.46002	     0.40246
   750	    21.57612	     0.33983
   800	    18.02531	     0.29363
   850	    15.02089	     0.25317
   900	    12.66949	     0.22001
   950	     9.99904	     0.18584
  1000	     8.50084	     0.16293
  1050	     6.97402	     0.14111
  1100	     6.19935	     0.12702
  1150	     5.33083	     0.11295
  1200	     4.50780	     0.09984
  1250	     4.02870	     0.09082
  1300	     3.57486	     0.08222
  1350	     3.10181	     0.07368
  1400	     2.70550	     0.06644
  1450	     2.34941	     0.05997
  1500	     2.06766	     0.05422
  1550	     1.74793	     0.04833
  1600	     1.67043	     0.04585
  1650	     1.43484	     0.04114
  1700	     1.22795	     0.03691
  1750	     1.13906	     0.03456
  1800	     1.01389	     0.03160
  1850	     0.91556	     0.02918
  1900	     0.84303	     0.02731
  1950	     0.75343	     0.02518
  2000	     0.66125	     0.02302
  2050	     0.61166	     0.02163
  2100	     0.55256	     0.02001
  2150	     0.50798	     0.01876
  2200	     0.43734	     0.01704
  2250	     0.44738	     0.01684
  2300	     0.41922	     0.01594
  2350	     0.36374	     0.01450
  2400	     0.34302	     0.01382
  2450	     0.31597	     0.01293
  2500	     0.29328	     0.01220
  2550	     0.26888	     0.01147
  2600	     0.23610	     0.01046
  2650	     0.24374	     0.01049
  2700	     0.23031	     0.01000
  2750	     0.21224	     0.00943
  2800	     0.18623	     0.00862
  2850	     0.17732	     0.00833
  2900	     0.16049	     0.00773
  2950	     0.16744	     0.00778
  3000	     0.15119	     0.00728
  3050	     0.13635	     0.00683
  3100	     0.12347	     0.00634
  3150	     0.12055	     0.00614
  3200	     0.11436	     0.00589
  3250	     0.11329	     0.00577
  3300	     0.10643	     0.00553
  3350	     0.09911	     0.00529
  3400	     0.09295	     0.00499
  3450	     0.09107	     0.00487
  3500	     0.09162	     0.00483
  3550	     0.08111	     0.00450
  3600	     0.08350	     0.00450
  3650	     0.07426	     0.00419
  3700	     0.07425	     0.00412
  3750	     0.06821	     0.00392
  3800	     0.05945	     0.00359
  3850	     0.06334	     0.00368
  3900	     0.05528	     0.00336
  3950	     0.05581	     0.00334
  4000	     0.05403	     0.00326
  4050	     0.05384	     0.00320
  4100	     0.05513	     0.00325
  4150	     0.04656	     0.00288
  4200	     0.03969	     0.00264
  4250	     0.04621	     0.00283
  4300	     0.03949	     0.00258
  4350	     0.03437	     0.00237
  4400	     0.04063	     0.00256
  4450	     0.03448	     0.00233
  4500	     0.03194	     0.00224
  4550	     0.03942	     0.00244
  4600	     0.03233	     0.00219
  4650	     0.03404	     0.00221
  4700	     0.03432	     0.00219
  4750	     0.03000	     0.00204
  4800	     0.02597	     0.00186
  4850	     0.02599	     0.00186
  4900	     0.02691	     0.00186
  4950	     0.02508	     0.00179
# extra	     0.20071
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.041878 seconds
# 782.463701 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	874314.93750	        -nan
    50	  4711.90555	    50.21709
   100	  1784.15008	    18.47702
   150	   883.82029	     9.31789
   200	   523.43973	     5.57187
   250	   336.52284	     3.66336
   300	   223.94125	     2.53547
   350	   160.22253	     1.87073
   400	   114.33219	     1.40015
   450	    85.61395	     1.08712
   500	    67.82412	     0.87897
   550	    51.68012	     0.70377
   600	    40.07498	     0.57273
   650	    32.87426	     0.47984
   700	    26.46002	     0.40246
   750	    21.57612	     0.33983
   800	    18.02531	     0.29363
   850	    15.02089	     0.25317
   900	    12.66949	     0.22001
   950	     9.99904	     0.18584
  1000	     8.50084	     0.16293
  1050	     6.97402	     0.14111
  1100	     6.19935	     0.12702
  1150	     5.33083	     0.11295
  1200	     4.50780	     0.09984
  1250	     4.02870	     0.09082
  1300	     3.57486	     0.08222
  1350	     3.10181	     0.07368
  1400	     2.70550	     0.06644
  1450	     2.34941	     0.05997
  1500	     2.06766	     0.05422
  1550	     1.74793	     0.04833
  1600	     1.67043	     0.04585
  1650	     1.43484	     0.04114
  1700	     1.22795	     0.03691
  1750	     1.13906	     0.03456
  1800	     1.01389	     0.03160
  1850	     0.91556	     0.02918
  1900	     0.84303	     0.02731
  1950	     0.75343	     0.02518
  2000	     0.66125	     0.02302
  2050	     0.61166	     0.02163
  2100	     0.55256	     0.02001
  2150	     0.50798	     0.01876
  2200	     0.43734	     0.01704
  2250	     0.44738	     0.01684
  2300	     0.41922	     0.01594
  2350	     0.36374	     0.01450
  2400	     0.34302	     0.01382
  2450	     0.31597	     0.01293
  2500	     0.29328	     0.01220
  2550	     0.26888	     0.01147
  2600	     0.23610	     0.01046
  2650	     0.24374	     0.01049
  2700	     0.23031	     0.01000
  2750	     0.21224	     0.00943
  2800	     0.18623	     0.00862
  2850	     0.17732	     0.00833
  2900	     0.16049	     0.00773
  2950	     0.16744	     0.00778
  3000	     0.15119	     0.00728
  3050	     0.13635	     0.00683
  3100	     0.12347	     0.00634
  3150	     0.12055	     0.00614
  3200	     0.11436	     0.00589
  3250	     0.11329	     0.00577
  3300	     0.10643	     0.00553
  3350	     0.09911	     0.00529
  3400	     0.09295	     0.00499
  3450	     0.09107	     0.00487
  3500	     0.09162	     0.00483
  3550	     0.08111	     0.00450
  3600	     0.08350	     0.00450
