# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.148261 seconds
# 221.014987 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  3850	     0.31365	     0.00399
  3900	     0.29746	     0.00373
  3950	     0.27072	     0.00351
  4000	     0.25295	     0.00332
  4050	     0.23644	     0.00320
  4100	     0.21739	     0.00297
  4150	     0.20532	     0.00283
  4200	     0.18505	     0.00262
  4250	     0.17812	     0.00249
  4300	     0.16494	     0.00240
  4350	     0.15787	     0.00233
  4400	     0.14368	     0.00215
  4450	     0.13789	     0.00204
  4500	     0.12598	     0.00193
  4550	     0.11851	     0.00184
  4600	     0.10935	     0.00176
  4650	     0.10382	     0.00168
  4700	     0.09563	     0.00156
  4750	     0.09051	     0.00154
  4800	     0.08767	     0.00145
  4850	     0.07869	     0.00134
  4900	     0.07315	     0.00127
  4950	     0.07057	     0.00124
# extra	     0.02341
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.148939 seconds
# 220.009580 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20435.79492	   306.75610
    50	  3290.30357	    45.34872
   100	  1331.83902	    17.07694
   150	   738.78278	     8.86685
   200	   476.68081	     5.41504
   250	   344.34375	     3.67790
   300	   257.13865	     2.62260
   350	   204.97935	     1.98229
   400	   158.87822	     1.50954
   450	   132.77582	     1.20685
   500	   112.75032	     0.98606
   550	    93.71090	     0.80461
   600	    81.12347	     0.67536
   650	    70.07631	     0.57147
   700	    60.18604	     0.48519
   750	    53.58365	     0.42075
   800	    46.36415	     0.36080
   850	    41.79660	     0.31799
   900	    37.55783	     0.28112
   950	    32.87906	     0.24744
  1000	    29.75039	     0.21940
  1050	    26.70805	     0.19529
  1100	    23.92676	     0.17509
  1150	    21.78855	     0.15926
  1200	    19.63936	     0.14260
  1250	    17.69181	     0.12871
  1300	    15.96890	     0.11639
  1350	    14.66375	     0.10573
  1400	    13.29904	     0.09689
  1450	    11.97644	     0.08853
  1500	    11.08403	     0.08105
  1550	    10.29015	     0.07474
  1600	     9.44786	     0.06884
  1650	     8.72615	     0.06381
  1700	     7.93366	     0.05899
  1750	     7.10509	     0.05388
  1800	     6.67377	     0.05011
  1850	     6.23015	     0.04692
  1900	     5.63047	     0.04285
  1950	     5.18164	     0.04010
  2000	     4.80969	     0.03754
  2050	     4.40979	     0.03462
  2100	     4.02761	     0.03233
  2150	     3.73706	     0.03020
  2200	     3.41133	     0.02808
  2250	     3.13691	     0.02618
  2300	     2.96880	     0.02476
  2350	     2.68846	     0.02273
  2400	     2.47938	     0.02145
  2450	     2.29597	     0.01995
  2500	     2.15582	     0.01905
  2550	     1.97840	     0.01747
  2600	     1.81981	     0.01634
  2650	     1.74209	     0.01579
  2700	     1.57124	     0.01463
  2750	     1.48254	     0.01387
  2800	     1.36746	     0.01291
  2850	     1.27442	     0.01220
  2900	     1.18661	     0.01152
  2950	     1.11957	     0.01089
  3000	     1.01655	     0.01016
  3050	     0.95273	     0.00963
  3100	     0.88742	     0.00913
  3150	     0.85512	     0.00888
  3200	     0.78573	     0.00819
  3250	     0.73145	     0.00774
  3300	     0.67339	     0.00725
  3350	     0.62443	     0.00683
  3400	     0.57968	     0.00644
  3450	     0.54153	     0.00613
  3500	     0.50853	     0.00581
  3550	     0.47688	     0.00558
  3600	     0.43969	     0.00525
  3650	     0.40382	     0.00489
  3700	     0.38646	     0.00467
  3750	     0.35772	     0.00445
  3800	     0.33662	     0.00414
  3850	     0.31365	     0.00399
  3900	     0.29746	     0.00373
  3950	     0.27072	     0.00351
  4000	     0.25295	     0.00332
  4050	     0.23644	     0.00320
  4100	     0.21739	     0.00297
  4150	     0.20532	     0.00283
  4200	     0.18505	     0.00262
  4250	     0.17812	     0.00249
  4300	     0.16494	     0.00240
  4350	     0.15787	     0.00233
  4400	     0.14368	     0.00215
  4450	     0.13789	     0.00204
  4500	     0.12598	     0.00193
  4550	     0.11851	     0.00184
  4600	     0.10935	     0.00176
  4650	     0.10382	     0.00168
  4700	     0.09563	     0.00156
  4750	     0.09051	     0.00154
  4800	     0.08767	     0.00145
  4850	     0.07869	     0.00134
  4900	     0.07315	     0.00127
  4950	     0.07057	     0.00124
# extra	     0.02341
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.147761 seconds
# 221.763704 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20435.79492	   306.75610
    50	  3290.30357	    45.34872
   100	  1331.83902	    17.07694
   150	   738.78278	     8.86685
   200	   476.68081	     5.41504
   250	   344.34375	     3.67790
   300	   257.13865	     2.62260
   350	   204.97935	     1.98229
   400	   158.87822	     1.50954
   450	   132.77582	     1.20685
   500	   112.75032	     0.98606
   550	    93.71090	     0.80461
   600	    81.12347	     0.67536
   650	    70.07631	     0.57147
   700	    60.18604	     0.48519
   750	    53.58365	     0.42075
   800	    46.36415	     0.36080
   850	    41.79660	     0.31799
   900	    37.55783	     0.28112
   950	    32.87906	     0.24744
  1000	    29.75039	     0.21940
  1050	    26.70805	     0.19529
  1100	    23.92676	     0.17509
  1150	    21.78855	     0.15926
  1200	    19.63936	     0.14260
  1250	    17.69181	     0.12871
  1300	    15.96890	     0.11639
  1350	    14.66375	     0.10573
  1400	    13.29904	     0.09689
  1450	    11.97644	     0.08853
  1500	    11.08403	     0.08105
  1550	    10.29015	     0.07474
  1600	     9.44786	     0.06884
  1650	     8.72615	     0.06381
  1700	     7.93366	     0.05899
  1750	     7.10509	     0.05388
  1800	     6.67377	     0.05011
  1850	     6.23015	     0.04692
  1900	     5.63047	     0.04285
  1950	     5.18164	     0.04010
  2000	     4.80969	     0.03754
  2050	     4.40979	     0.03462
  2100	     4.02761	     0.03233
  2150	     3.73706	     0.03020
  2200	     3.41133	     0.02808
  2250	     3.13691	     0.02618
  2300	     2.96880	     0.02476
  2350	     2.68846	     0.02273
  2400	     2.47938	     0.02145
  2450	     2.29597	     0.01995
  2500	     2.15582	     0.01905
  2550	     1.97840	     0.01747
  2600	     1.81981	     0.01634
  2650	     1.74209	     0.01579
  2700	     1.57124	     0.01463
  2750	     1.48254	     0.01387
  2800	     1.36746	     0.01291
  2850	     1.27442	     0.01220
  2900	     1.18661	     0.01152
  2950	     1.11957	     0.01089
  3000	     1.01655	     0.01016
  3050	     0.95273	     0.00963
  3100	     0.88742	     0.00913
  3150	     0.85512	     0.00888
  3200	     0.78573	     0.00819
  3250	     0.73145	     0.00774
  3300	     0.67339	     0.00725
  3350	     0.62443	     0.00683
  3400	     0.57968	     0.00644
  3450	     0.54153	     0.00613
  3500	     0.50853	     0.00581
  3550	     0.47688	     0.00558
  3600	     0.43969	     0.00525
  3650	     0.40382	     0.00489
  3700	     0.38646	     0.00467
  3750	     0.35772	     0.00445
  3800	     0.33662	     0.00414
  3850	     0.31365	     0.00399
  3900	     0.29746	     0.00373
  3950	     0.27072	     0.00351
  4000	     0.25295	     0.00332
  4050	     0.23644	     0.00320
  4100	     0.21739	     0.00297
  4150	     0.20532	     0.00283
  4200	     0.18505	     0.00262
  4250	     0.17812	     0.00249
  4300	     0.16494	     0.00240
  4350	     0.15787	     0.00233
  4400	     0.14368	     0.00215
  4450	     0.13789	     0.00204
  4500	     0.12598	     0.00193
