# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.189411 seconds
# 172.999726 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  3850	     0.31240	     0.00403
  3900	     0.28873	     0.00375
  3950	     0.27405	     0.00359
  4000	     0.25252	     0.00335
  4050	     0.24128	     0.00321
  4100	     0.22950	     0.00314
  4150	     0.21430	     0.00301
  4200	     0.18995	     0.00264
  4250	     0.18553	     0.00266
  4300	     0.17359	     0.00250
  4350	     0.15817	     0.00227
  4400	     0.15469	     0.00227
  4450	     0.14102	     0.00215
  4500	     0.13446	     0.00202
  4550	     0.12142	     0.00183
  4600	     0.11934	     0.00185
  4650	     0.10806	     0.00171
  4700	     0.10766	     0.00173
  4750	     0.09652	     0.00155
  4800	     0.09192	     0.00151
  4850	     0.08223	     0.00138
  4900	     0.07986	     0.00135
  4950	     0.07397	     0.00130
# extra	     0.02405
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.189696 seconds
# 172.739345 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20264.26318	   305.69656
    50	  3289.01974	    45.32841
   100	  1362.61493	    17.22453
   150	   747.26613	     8.92891
   200	   487.52733	     5.46018
   250	   335.10963	     3.63617
   300	   253.40703	     2.61033
   350	   202.26261	     1.97175
   400	   158.74074	     1.51291
   450	   128.70314	     1.19585
   500	   110.86111	     0.98004
   550	    93.49566	     0.80657
   600	    79.55272	     0.67232
   650	    68.69089	     0.56528
   700	    60.09775	     0.48656
   750	    52.49864	     0.41712
   800	    46.01742	     0.36261
   850	    40.75367	     0.31751
   900	    36.58163	     0.27963
   950	    32.69751	     0.24741
  1000	    28.56188	     0.21735
  1050	    26.49143	     0.19640
  1100	    23.61765	     0.17575
  1150	    21.56309	     0.15885
  1200	    19.41608	     0.14230
  1250	    17.84702	     0.12944
  1300	    16.17305	     0.11724
  1350	    14.59741	     0.10652
  1400	    13.20598	     0.09714
  1450	    12.07744	     0.08829
  1500	    10.95784	     0.08112
  1550	    10.27369	     0.07566
  1600	     9.29217	     0.06876
  1650	     8.59049	     0.06378
  1700	     7.89815	     0.05903
  1750	     7.19056	     0.05425
  1800	     6.66022	     0.05049
  1850	     6.13008	     0.04678
  1900	     5.66450	     0.04340
  1950	     5.15364	     0.04053
  2000	     4.74201	     0.03744
  2050	     4.42751	     0.03506
  2100	     4.12406	     0.03248
  2150	     3.72233	     0.03015
  2200	     3.49420	     0.02844
  2250	     3.16758	     0.02607
  2300	     2.96079	     0.02481
  2350	     2.75527	     0.02338
  2400	     2.54453	     0.02182
  2450	     2.36304	     0.02070
  2500	     2.18166	     0.01920
  2550	     2.01672	     0.01788
  2600	     1.84225	     0.01674
  2650	     1.75297	     0.01607
  2700	     1.59930	     0.01465
  2750	     1.49885	     0.01404
  2800	     1.41320	     0.01334
  2850	     1.32003	     0.01265
  2900	     1.18827	     0.01157
  2950	     1.13439	     0.01115
  3000	     1.03951	     0.01033
  3050	     0.98280	     0.00986
  3100	     0.91722	     0.00923
  3150	     0.84462	     0.00868
  3200	     0.79945	     0.00824
  3250	     0.73771	     0.00779
  3300	     0.68907	     0.00735
  3350	     0.62516	     0.00686
  3400	     0.59796	     0.00660
  3450	     0.55217	     0.00614
  3500	     0.52428	     0.00589
  3550	     0.47226	     0.00545
  3600	     0.45307	     0.00534
  3650	     0.42196	     0.00500
  3700	     0.38960	     0.00472
  3750	     0.35775	     0.00438
  3800	     0.34453	     0.00426
  3850	     0.31240	     0.00403
  3900	     0.28873	     0.00375
  3950	     0.27405	     0.00359
  4000	     0.25252	     0.00335
  4050	     0.24128	     0.00321
  4100	     0.22950	     0.00314
  4150	     0.21430	     0.00301
  4200	     0.18995	     0.00264
  4250	     0.18553	     0.00266
  4300	     0.17359	     0.00250
  4350	     0.15817	     0.00227
  4400	     0.15469	     0.00227
  4450	     0.14102	     0.00215
  4500	     0.13446	     0.00202
  4550	     0.12142	     0.00183
  4600	     0.11934	     0.00185
  4650	     0.10806	     0.00171
  4700	     0.10766	     0.00173
  4750	     0.09652	     0.00155
  4800	     0.09192	     0.00151
  4850	     0.08223	     0.00138
  4900	     0.07986	     0.00135
  4950	     0.07397	     0.00130
# extra	     0.02405
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.190215 seconds
# 172.268626 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20264.26318	   305.69656
    50	  3289.01974	    45.32841
   100	  1362.61493	    17.22453
   150	   747.26613	     8.92891
   200	   487.52733	     5.46018
   250	   335.10963	     3.63617
   300	   253.40703	     2.61033
   350	   202.26261	     1.97175
   400	   158.74074	     1.51291
   450	   128.70314	     1.19585
   500	   110.86111	     0.98004
   550	    93.49566	     0.80657
   600	    79.55272	     0.67232
   650	    68.69089	     0.56528
   700	    60.09775	     0.48656
   750	    52.49864	     0.41712
   800	    46.01742	     0.36261
   850	    40.75367	     0.31751
   900	    36.58163	     0.27963
   950	    32.69751	     0.24741
  1000	    28.56188	     0.21735
  1050	    26.49143	     0.19640
  1100	    23.61765	     0.17575
  1150	    21.56309	     0.15885
  1200	    19.41608	     0.14230
  1250	    17.84702	     0.12944
  1300	    16.17305	     0.11724
  1350	    14.59741	     0.10652
  1400	    13.20598	     0.09714
  1450	    12.07744	     0.08829
  1500	    10.95784	     0.08112
  1550	    10.27369	     0.07566
  1600	     9.29217	     0.06876
  1650	     8.59049	     0.06378
  1700	     7.89815	     0.05903
  1750	     7.19056	     0.05425
  1800	     6.66022	     0.05049
  1850	     6.13008	     0.04678
  1900	     5.66450	     0.04340
  1950	     5.15364	     0.04053
  2000	     4.74201	     0.03744
  2050	     4.42751	     0.03506
  2100	     4.12406	     0.03248
  2150	     3.72233	     0.03015
  2200	     3.49420	     0.02844
  2250	     3.16758	     0.02607
  2300	     2.96079	     0.02481
  2350	     2.75527	     0.02338
  2400	     2.54453	     0.02182
  2450	     2.36304	     0.02070
  2500	     2.18166	     0.01920
  2550	     2.01672	     0.01788
  2600	     1.84225	     0.01674
  2650	     1.75297	     0.01607
  2700	     1.59930	     0.01465
  2750	     1.49885	     0.01404
  2800	     1.41320	     0.01334
  2850	     1.32003	     0.01265
  2900	     1.18827	     0.01157
  2950	     1.13439	     0.01115
  3000	     1.03951	     0.01033
  3050	     0.98280	     0.00986
  3100	     0.91722	     0.00923
